building 1 || best score : 119.18822003163703
building 2 || best score : 41.88343834420928
building 3 || best score : 61.18478994574207
building 4 || best score : 18.18730324498045
building 5 || best score : 119.18822003163703
building 6 || best score : 49.9017789409118
building 7 || best score : 56.05088843043549
building 8 || best score : 12.482994798381121
building 9 || best score : 19.866407422811342
building 10 || best score : 29.37153849399387
building 11 || best score : 16.786062500772683
building 12 || best score : 119.18822003163703
building 13 || best score : 61.18478994574207
building 14 || best score : 48.3226821836736
building 15 || best score : 53.11334359374263
building 16 || best score : 34.026659750767834
building 17 || best score : 12.482994798381121
building 18 || best score : 29.37153849399387
building 19 || best score : 102.41628764913168
building 20 || best score : 29.37153849399387
building 21 || best score : 47.58759919687302
building 22 || best score : 34.026659750767834
building 23 || best score : 56.678109923859836
building 24 || best score : 66.09735714553659
building 25 || best score : 31.35992407813491
building 26 || best score : 29.37153849399387
building 27 || best score : 118.80905830286142
building 28 || best score : 29.37153849399387
building 29 || best score : 119.18822003163703
building 30 || best score : 0.432569255893076
building 31 || best score : 61.18478994574207
building 32 || best score : 59.00019913139281
building 33 || best score : 29.37153849399387
building 34 || best score : 12.482994798381121
building 35 || best score : 20.51814107748599
building 36 || best score : 59.00019913139281
building 37 || best score : 14.320699338701802
building 38 || best score : 56.678109923859836
building 39 || best score : 119.18822003163703
building 40 || best score : 24.746875378872367
building 41 || best score : 24.746875378872367
building 42 || best score : 49.9017789409118
building 43 || best score : 16.786062500772683
building 44 || best score : 118.80905830286142
building 45 || best score : 66.09735714553659
building 46 || best score : 20.51814107748599
building 47 || best score : 34.026659750767834
building 48 || best score : 10.031723901483707
building 49 || best score : 82.73037861397692
building 50 || best score : 12.482994798381121
building 51 || best score : 72.95745667991535
building 52 || best score : 48.3226821836736
building 53 || best score : 18.18730324498045
building 54 || best score : 12.482994798381121
building 55 || best score : 29.37153849399387
building 56 || best score : 28.303561680212216
building 57 || best score : 29.37153849399387
building 58 || best score : 31.35992407813491
building 59 || best score : 34.614943162229594
building 60 || best score : 48.3226821836736
building 61 || best score : 20.51814107748599
building 62 || best score : 70.7374598919688
building 63 || best score : 23.52289790093445
building 64 || best score : 119.18822003163703
building 65 || best score : 12.482994798381121
building 66 || best score : 29.37153849399387
building 67 || best score : 87.52194037302445
building 68 || best score : 61.18478994574207
building 69 || best score : 49.9017789409118
building 70 || best score : 102.41628764913168
building 71 || best score : 61.18478994574207
building 72 || best score : 68.20179072346828
building 73 || best score : 119.18822003163703
building 74 || best score : 18.18730324498045
building 75 || best score : 19.866407422811342
building 76 || best score : 29.37153849399387
building 77 || best score : 61.18478994574207
building 78 || best score : 119.18822003163703
building 79 || best score : 12.482994798381121
building 80 || best score : 119.18822003163703
building 81 || best score : 128.78774310843536
building 82 || best score : 20.51814107748599
building 83 || best score : 70.20908491010903
building 84 || best score : 48.76554838297508
building 85 || best score : 22.520341798789776
building 86 || best score : 29.37153849399387
building 87 || best score : 28.303561680212216
building 88 || best score : 28.303561680212216
building 89 || best score : 68.20179072346828
building 90 || best score : 119.18822003163703
building 91 || best score : 12.482994798381121
building 92 || best score : 20.51814107748599
building 93 || best score : 102.41628764913168
building 94 || best score : 66.09735714553659
building 95 || best score : 48.3226821836736
building 96 || best score : 43.799491022498074
building 97 || best score : 29.37153849399387
building 98 || best score : 19.866407422811342
building 99 || best score : 56.290786743279234
building 100 || best score : 19.866407422811342
building 101 || best score : 65.79352566751807
building 102 || best score : 12.482994798381121
building 103 || best score : 119.18822003163703
building 104 || best score : 41.88343834420928
