item,price,year,month,day,dow,is_holiday,corporation_A,corporation_B,corporation_C,corporation_D,corporation_E,corporation_F,location_J,location_S
TG,1728.0,2019,1,3,3,0,1,0,0,0,0,0,1,0
TG,1408.0,2019,1,4,4,0,1,0,0,0,0,0,1,0
TG,1250.0,2019,1,5,5,0,1,0,0,0,0,0,1,0
TG,1474.0,2019,1,7,0,0,1,0,0,0,0,0,1,0
TG,1326.0,2019,1,8,1,0,1,0,0,0,0,0,1,0
TG,1428.0,2019,1,9,2,0,1,0,0,0,0,0,1,0
TG,1433.0,2019,1,10,3,0,1,0,0,0,0,0,1,0
TG,1546.0,2019,1,11,4,0,1,0,0,0,0,0,1,0
TG,1374.0,2019,1,12,5,0,1,0,0,0,0,0,1,0
TG,1694.0,2019,1,14,0,0,1,0,0,0,0,0,1,0
TG,1456.0,2019,1,15,1,0,1,0,0,0,0,0,1,0
TG,1470.0,2019,1,16,2,0,1,0,0,0,0,0,1,0
TG,2919.0,2019,1,17,3,0,1,0,0,0,0,0,1,0
TG,1374.0,2019,1,18,4,0,1,0,0,0,0,0,1,0
TG,1330.0,2019,1,19,5,0,1,0,0,0,0,0,1,0
TG,2144.0,2019,1,21,0,0,1,0,0,0,0,0,1,0
TG,2067.0,2019,1,22,1,0,1,0,0,0,0,0,1,0
TG,2149.0,2019,1,23,2,0,1,0,0,0,0,0,1,0
TG,2148.0,2019,1,24,3,0,1,0,0,0,0,0,1,0
TG,2513.0,2019,1,25,4,0,1,0,0,0,0,0,1,0
TG,2629.0,2019,1,26,5,0,1,0,0,0,0,0,1,0
TG,2932.0,2019,1,28,0,0,1,0,0,0,0,0,1,0
TG,2472.0,2019,1,29,1,0,1,0,0,0,0,0,1,0
TG,2377.0,2019,1,30,2,0,1,0,0,0,0,0,1,0
TG,2278.0,2019,1,31,3,0,1,0,0,0,0,0,1,0
TG,2349.0,2019,2,1,4,0,1,0,0,0,0,0,1,0
TG,2286.0,2019,2,2,5,0,1,0,0,0,0,0,1,0
TG,1831.0,2019,2,4,0,1,1,0,0,0,0,0,1,0
TG,2795.0,2019,2,9,5,0,1,0,0,0,0,0,1,0
TG,2612.0,2019,2,11,0,0,1,0,0,0,0,0,1,0
TG,1979.0,2019,2,12,1,0,1,0,0,0,0,0,1,0
TG,2022.0,2019,2,13,2,0,1,0,0,0,0,0,1,0
TG,2323.0,2019,2,14,3,0,1,0,0,0,0,0,1,0
TG,2522.0,2019,2,15,4,0,1,0,0,0,0,0,1,0
TG,1888.0,2019,2,16,5,0,1,0,0,0,0,0,1,0
TG,2089.0,2019,2,18,0,0,1,0,0,0,0,0,1,0
TG,1581.0,2019,2,19,1,0,1,0,0,0,0,0,1,0
TG,2516.0,2019,2,20,2,0,1,0,0,0,0,0,1,0
TG,3730.0,2019,2,21,3,0,1,0,0,0,0,0,1,0
TG,3648.0,2019,2,22,4,0,1,0,0,0,0,0,1,0
TG,2310.0,2019,2,23,5,0,1,0,0,0,0,0,1,0
TG,2998.0,2019,2,25,0,0,1,0,0,0,0,0,1,0
TG,2249.0,2019,2,26,1,0,1,0,0,0,0,0,1,0
TG,1672.0,2019,2,27,2,0,1,0,0,0,0,0,1,0
TG,3841.0,2019,2,28,3,0,1,0,0,0,0,0,1,0
TG,4307.0,2019,3,1,4,1,1,0,0,0,0,0,1,0
TG,4538.0,2019,3,2,5,0,1,0,0,0,0,0,1,0
TG,3992.0,2019,3,4,0,0,1,0,0,0,0,0,1,0
TG,4055.0,2019,3,5,1,0,1,0,0,0,0,0,1,0
TG,4278.0,2019,3,6,2,0,1,0,0,0,0,0,1,0
TG,4165.0,2019,3,7,3,0,1,0,0,0,0,0,1,0
TG,3690.0,2019,3,8,4,0,1,0,0,0,0,0,1,0
TG,4838.0,2019,3,9,5,0,1,0,0,0,0,0,1,0
TG,4217.0,2019,3,11,0,0,1,0,0,0,0,0,1,0
TG,3904.0,2019,3,12,1,0,1,0,0,0,0,0,1,0
TG,3686.0,2019,3,13,2,0,1,0,0,0,0,0,1,0
TG,3552.0,2019,3,14,3,0,1,0,0,0,0,0,1,0
TG,3573.0,2019,3,15,4,0,1,0,0,0,0,0,1,0
TG,3541.0,2019,3,16,5,0,1,0,0,0,0,0,1,0
TG,3530.0,2019,3,18,0,0,1,0,0,0,0,0,1,0
TG,3372.0,2019,3,19,1,0,1,0,0,0,0,0,1,0
TG,3609.0,2019,3,20,2,0,1,0,0,0,0,0,1,0
TG,3961.0,2019,3,21,3,0,1,0,0,0,0,0,1,0
TG,4768.0,2019,3,22,4,0,1,0,0,0,0,0,1,0
TG,5408.0,2019,3,23,5,0,1,0,0,0,0,0,1,0
TG,5265.0,2019,3,25,0,0,1,0,0,0,0,0,1,0
TG,3443.0,2019,3,26,1,0,1,0,0,0,0,0,1,0
TG,3650.0,2019,3,27,2,0,1,0,0,0,0,0,1,0
TG,6215.0,2019,3,28,3,0,1,0,0,0,0,0,1,0
TG,4774.0,2019,3,30,5,0,1,0,0,0,0,0,1,0
TG,8733.0,2019,4,1,0,0,1,0,0,0,0,0,1,0
TG,3876.0,2019,4,2,1,0,1,0,0,0,0,0,1,0
TG,2533.0,2019,4,3,2,0,1,0,0,0,0,0,1,0
TG,6667.0,2019,4,11,3,0,1,0,0,0,0,0,1,0
TG,5312.0,2019,4,12,4,0,1,0,0,0,0,0,1,0
TG,6667.0,2019,4,13,5,0,1,0,0,0,0,0,1,0
TG,2917.0,2019,4,19,4,0,1,0,0,0,0,0,1,0
TG,4619.0,2019,4,22,0,0,1,0,0,0,0,0,1,0
TG,3926.0,2019,4,23,1,0,1,0,0,0,0,0,1,0
TG,2525.0,2019,4,24,2,0,1,0,0,0,0,0,1,0
TG,3837.0,2019,5,1,2,0,1,0,0,0,0,0,1,0
TG,3932.0,2019,5,6,0,0,1,0,0,0,0,0,1,0
TG,8841.0,2019,5,9,3,0,1,0,0,0,0,0,1,0
TG,5662.0,2019,5,10,4,0,1,0,0,0,0,0,1,0
TG,5181.0,2019,5,11,5,0,1,0,0,0,0,0,1,0
TG,6300.0,2019,5,14,1,0,1,0,0,0,0,0,1,0
TG,8587.0,2019,5,15,2,0,1,0,0,0,0,0,1,0
TG,8809.0,2019,5,17,4,0,1,0,0,0,0,0,1,0
TG,7479.0,2019,6,1,5,0,1,0,0,0,0,0,1,0
TG,6953.0,2019,6,3,0,0,1,0,0,0,0,0,1,0
TG,6292.0,2019,6,21,4,0,1,0,0,0,0,0,1,0
TG,5580.0,2019,6,27,3,0,1,0,0,0,0,0,1,0
TG,5261.0,2019,7,6,5,0,1,0,0,0,0,0,1,0
TG,5424.0,2019,7,8,0,0,1,0,0,0,0,0,1,0
TG,4735.0,2019,7,17,2,0,1,0,0,0,0,0,1,0
TG,4133.0,2019,7,18,3,0,1,0,0,0,0,0,1,0
TG,6163.0,2019,7,22,0,0,1,0,0,0,0,0,1,0
TG,5745.0,2019,7,23,1,0,1,0,0,0,0,0,1,0
TG,5897.0,2019,7,27,5,0,1,0,0,0,0,0,1,0
TG,4885.0,2019,8,2,4,0,1,0,0,0,0,0,1,0
TG,4667.0,2019,8,5,0,0,1,0,0,0,0,0,1,0
TG,5672.0,2019,8,8,3,0,1,0,0,0,0,0,1,0
TG,2468.0,2019,8,10,5,0,1,0,0,0,0,0,1,0
TG,4824.0,2019,8,13,1,0,1,0,0,0,0,0,1,0
TG,3934.0,2019,8,15,3,1,1,0,0,0,0,0,1,0
TG,3391.0,2019,8,28,2,0,1,0,0,0,0,0,1,0
TG,4438.0,2019,8,30,4,0,1,0,0,0,0,0,1,0
TG,4319.0,2019,8,31,5,0,1,0,0,0,0,0,1,0
TG,5728.0,2019,9,2,0,0,1,0,0,0,0,0,1,0
TG,2652.0,2019,9,3,1,0,1,0,0,0,0,0,1,0
TG,5545.0,2019,9,4,2,0,1,0,0,0,0,0,1,0
TG,3834.0,2019,9,5,3,0,1,0,0,0,0,0,1,0
TG,3325.0,2019,9,7,5,0,1,0,0,0,0,0,1,0
TG,5947.0,2019,9,9,0,0,1,0,0,0,0,0,1,0
TG,3580.0,2019,9,10,1,0,1,0,0,0,0,0,1,0
TG,3667.0,2019,9,11,2,0,1,0,0,0,0,0,1,0
TG,3750.0,2019,9,12,3,1,1,0,0,0,0,0,1,0
TG,3400.0,2019,9,16,0,0,1,0,0,0,0,0,1,0
TG,1900.0,2019,9,17,1,0,1,0,0,0,0,0,1,0
TG,2800.0,2019,9,21,5,0,1,0,0,0,0,0,1,0
TG,2800.0,2019,9,24,1,0,1,0,0,0,0,0,1,0
TG,1900.0,2019,9,25,2,0,1,0,0,0,0,0,1,0
TG,2164.0,2019,9,30,0,0,1,0,0,0,0,0,1,0
TG,1719.0,2019,10,1,1,0,1,0,0,0,0,0,1,0
TG,1439.0,2019,10,2,2,0,1,0,0,0,0,0,1,0
TG,1137.0,2019,10,3,3,1,1,0,0,0,0,0,1,0
TG,1585.0,2019,10,5,5,0,1,0,0,0,0,0,1,0
TG,1419.0,2019,10,7,0,0,1,0,0,0,0,0,1,0
TG,1471.0,2019,10,8,1,0,1,0,0,0,0,0,1,0
TG,1654.0,2019,10,9,2,1,1,0,0,0,0,0,1,0
TG,1428.0,2019,10,10,3,0,1,0,0,0,0,0,1,0
TG,1514.0,2019,10,11,4,0,1,0,0,0,0,0,1,0
