item,corporation,location,price,year,dow,is_holiday,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12
TG,A,J,0.0,2019,1,1,1,0,0,0,0,0,0,0,0,0,0,0
TG,A,J,0.0,2019,2,0,1,0,0,0,0,0,0,0,0,0,0,0
TG,A,J,1728.0,2019,3,0,1,0,0,0,0,0,0,0,0,0,0,0
TG,A,J,1408.0,2019,4,0,1,0,0,0,0,0,0,0,0,0,0,0
TG,A,J,1250.0,2019,5,0,1,0,0,0,0,0,0,0,0,0,0,0
TG,A,J,0.0,2019,6,1,1,0,0,0,0,0,0,0,0,0,0,0
TG,A,J,1474.0,2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0
TG,A,J,1326.0,2019,1,0,1,0,0,0,0,0,0,0,0,0,0,0
TG,A,J,1428.0,2019,2,0,1,0,0,0,0,0,0,0,0,0,0,0
TG,A,J,1433.0,2019,3,0,1,0,0,0,0,0,0,0,0,0,0,0
TG,A,J,1546.0,2019,4,0,1,0,0,0,0,0,0,0,0,0,0,0
TG,A,J,1374.0,2019,5,0,1,0,0,0,0,0,0,0,0,0,0,0
TG,A,J,0.0,2019,6,1,1,0,0,0,0,0,0,0,0,0,0,0
TG,A,J,1694.0,2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0
TG,A,J,1456.0,2019,1,0,1,0,0,0,0,0,0,0,0,0,0,0
TG,A,J,1470.0,2019,2,0,1,0,0,0,0,0,0,0,0,0,0,0
TG,A,J,2919.0,2019,3,0,1,0,0,0,0,0,0,0,0,0,0,0
TG,A,J,1374.0,2019,4,0,1,0,0,0,0,0,0,0,0,0,0,0
TG,A,J,1330.0,2019,5,0,1,0,0,0,0,0,0,0,0,0,0,0
TG,A,J,0.0,2019,6,1,1,0,0,0,0,0,0,0,0,0,0,0
TG,A,J,2144.0,2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0
TG,A,J,2067.0,2019,1,0,1,0,0,0,0,0,0,0,0,0,0,0
TG,A,J,2149.0,2019,2,0,1,0,0,0,0,0,0,0,0,0,0,0
TG,A,J,2148.0,2019,3,0,1,0,0,0,0,0,0,0,0,0,0,0
TG,A,J,2513.0,2019,4,0,1,0,0,0,0,0,0,0,0,0,0,0
TG,A,J,2629.0,2019,5,0,1,0,0,0,0,0,0,0,0,0,0,0
TG,A,J,0.0,2019,6,1,1,0,0,0,0,0,0,0,0,0,0,0
TG,A,J,2932.0,2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0
TG,A,J,2472.0,2019,1,0,1,0,0,0,0,0,0,0,0,0,0,0
TG,A,J,2377.0,2019,2,0,1,0,0,0,0,0,0,0,0,0,0,0
TG,A,J,2278.0,2019,3,0,1,0,0,0,0,0,0,0,0,0,0,0
TG,A,J,2349.0,2019,4,0,0,1,0,0,0,0,0,0,0,0,0,0
TG,A,J,2286.0,2019,5,0,0,1,0,0,0,0,0,0,0,0,0,0
TG,A,J,0.0,2019,6,1,0,1,0,0,0,0,0,0,0,0,0,0
TG,A,J,1831.0,2019,0,1,0,1,0,0,0,0,0,0,0,0,0,0
TG,A,J,0.0,2019,1,1,0,1,0,0,0,0,0,0,0,0,0,0
TG,A,J,0.0,2019,2,1,0,1,0,0,0,0,0,0,0,0,0,0
TG,A,J,0.0,2019,3,0,0,1,0,0,0,0,0,0,0,0,0,0
TG,A,J,0.0,2019,4,0,0,1,0,0,0,0,0,0,0,0,0,0
TG,A,J,2795.0,2019,5,0,0,1,0,0,0,0,0,0,0,0,0,0
TG,A,J,0.0,2019,6,1,0,1,0,0,0,0,0,0,0,0,0,0
TG,A,J,2612.0,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TG,A,J,1979.0,2019,1,0,0,1,0,0,0,0,0,0,0,0,0,0
TG,A,J,2022.0,2019,2,0,0,1,0,0,0,0,0,0,0,0,0,0
TG,A,J,2323.0,2019,3,0,0,1,0,0,0,0,0,0,0,0,0,0
TG,A,J,2522.0,2019,4,0,0,1,0,0,0,0,0,0,0,0,0,0
TG,A,J,1888.0,2019,5,0,0,1,0,0,0,0,0,0,0,0,0,0
TG,A,J,0.0,2019,6,1,0,1,0,0,0,0,0,0,0,0,0,0
TG,A,J,2089.0,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TG,A,J,1581.0,2019,1,0,0,1,0,0,0,0,0,0,0,0,0,0
TG,A,J,2516.0,2019,2,0,0,1,0,0,0,0,0,0,0,0,0,0
TG,A,J,3730.0,2019,3,0,0,1,0,0,0,0,0,0,0,0,0,0
TG,A,J,3648.0,2019,4,0,0,1,0,0,0,0,0,0,0,0,0,0
TG,A,J,2310.0,2019,5,0,0,1,0,0,0,0,0,0,0,0,0,0
TG,A,J,0.0,2019,6,1,0,1,0,0,0,0,0,0,0,0,0,0
